metric_name,dimension,label
avg_nps_score,awv_tier,AWV Tier
avg_nps_score,clinic_standardized,Clinic
avg_nps_score,hcc_tier,HCC Tier
avg_nps_score,is_bonus_eligible,Bonus Eligible
avg_nps_score,next_visit_tier,Next Visit Tier
avg_nps_score,nps_tier,NPS Tier
avg_nps_score,provider_name,Provider
avg_nps_score,provider_type,Provider Type
avg_nps_score,quality_tier,Quality Tier
avg_phq_latest,bh_program_status,BH Program Status
avg_phq_latest,bh_provider,BH Provider
avg_phq_latest,bh_tier,BH Tier
avg_phq_latest,clinic,Clinic
avg_phq_latest,has_bh_care_plan,Has BH Care Plan
avg_phq_latest,has_next_bh_appointment,Has Next BH Appointment
avg_phq_latest,patient_tier,Patient Tier
avg_phq_latest,pcp_name,PCP
avg_phq_latest,program_name,Program
avg_productivity_multiplier,assigned_clinic,Assigned Clinic
avg_productivity_multiplier,awv_tier,AWV Tier
avg_productivity_multiplier,clinic_standardized,Clinic
avg_productivity_multiplier,hcc_tier,HCC Tier
avg_productivity_multiplier,is_bonus_eligible,Bonus Eligible
avg_productivity_multiplier,next_visit_tier,Next Visit Tier
avg_productivity_multiplier,nps_tier,NPS Tier
avg_productivity_multiplier,provider_name,Provider
avg_productivity_multiplier,provider_type,Provider Type
avg_productivity_multiplier,quality_tier,Quality Tier
avg_provider_satisfaction,appointment_type,Appointment Type
avg_provider_satisfaction,clinic_name,Clinic Name
avg_provider_satisfaction,enterprise_id,Enterprise ID
avg_provider_satisfaction,golden_id,Golden ID
avg_provider_satisfaction,nps_category,NPS Category
avg_provider_satisfaction,provider_name,Provider Name
avg_provider_satisfaction,salesforce_id,Salesforce ID
avg_provider_satisfaction,sentiment,Sentiment
avg_quality_score,assigned_clinic,Assigned Clinic
avg_quality_score,awv_tier,AWV Tier
avg_quality_score,clinic_standardized,Clinic
avg_quality_score,hcc_tier,HCC Tier
avg_quality_score,is_bonus_eligible,Bonus Eligible
avg_quality_score,next_visit_tier,Next Visit Tier
avg_quality_score,nps_tier,NPS Tier
avg_quality_score,provider_name,Provider
avg_quality_score,provider_type,Provider Type
avg_quality_score,quality_tier,Quality Tier
avg_recommend_score,appointment_type,Appointment Type
avg_recommend_score,clinic_name,Clinic Name
avg_recommend_score,enterprise_id,Enterprise ID
avg_recommend_score,golden_id,Golden ID
avg_recommend_score,nps_category,NPS Category
avg_recommend_score,provider_name,Provider Name
avg_recommend_score,salesforce_id,Salesforce ID
avg_recommend_score,sentiment,Sentiment
avg_satisfaction,appointment_type,Appointment Type
avg_satisfaction,clinic_name,Clinic Name
avg_satisfaction,enterprise_id,Enterprise ID
avg_satisfaction,golden_id,Golden ID
avg_satisfaction,nps_category,NPS Category
avg_satisfaction,provider_name,Provider Name
avg_satisfaction,salesforce_id,Salesforce ID
avg_satisfaction,sentiment,Sentiment
avg_success_score,is_currently_on_roster,On Roster?
